baseline,payload_kg,stage,Kp_e,Kp_d,Kp_c,Kp_b,Kd_e,Kd_d,Kd_c,Kd_b
ImplicitID,0.00,before_calibration_sim,57.8724,97.4753,87.9817,8.6874,0.05794,3.64257,1.66434,0.00634
ImplicitID,0.00,after_calibration_applied,2.8936,6.4984,3.5193,1.7375,0.01159,0.72851,0.33287,0.00127
ImplicitID,0.38,before_calibration_sim,56.7029,97.4677,87.9586,8.4999,0.05607,3.64786,1.66099,0.00638
ImplicitID,0.38,after_calibration_applied,2.8351,6.4978,3.5183,1.7000,0.01121,0.72957,0.33220,0.00128
ImplicitID,0.57,before_calibration_sim,56.7048,98.2097,88.4905,8.4821,0.05554,3.64044,1.67436,0.00621
ImplicitID,0.57,after_calibration_applied,2.8355,6.5473,3.5396,1.6960,0.01120,0.72800,0.33480,0.00120
Explicit-mp,0.00,before_calibration_sim,60.3458,89.4258,36.4563,11.0017,0.08248,1.76064,0.11706,0.00640
Explicit-mp,0.00,after_calibration_applied,3.0173,5.9617,1.4583,2.2003,0.01650,0.35213,0.02341,0.00128
Explicit-mp,0.38,before_calibration_sim,53.9884,89.9979,53.4443,9.7263,0.05796,1.95596,1.29966,0.00341
Explicit-mp,0.38,after_calibration_applied,2.6994,5.9999,2.1378,1.9453,0.01159,0.39119,0.25993,0.00068
Explicit-mp,0.57,before_calibration_sim,53.6956,90.6031,56.1511,9.6089,0.05092,1.99922,1.40807,0.00337
Explicit-mp,0.57,after_calibration_applied,2.6850,6.0400,2.2460,1.9220,0.01020,0.39980,0.28160,0.00060
Fixed@0kg,0.00,before_calibration_sim,60.3458,89.4258,36.4563,11.0017,0.08248,1.76064,0.11706,0.00640
Fixed@0kg,0.00,after_calibration_applied,3.0173,5.9617,1.4583,2.2003,0.01650,0.35213,0.02341,0.00128
Fixed@0kg,0.38,before_calibration_sim,60.3458,89.4258,36.4563,11.0017,0.08248,1.76064,0.11706,0.00640
Fixed@0kg,0.38,after_calibration_applied,3.0173,5.9617,1.4583,2.2003,0.01650,0.35213,0.02341,0.00128
Fixed@0kg,0.57,before_calibration_sim,60.3458,89.4258,36.4563,11.0017,0.08248,1.76064,0.11706,0.00640
Fixed@0kg,0.57,after_calibration_applied,3.0173,5.9617,1.4583,2.2003,0.01650,0.35213,0.02341,0.00128
