time_sec,q_ref_axis_e,q_ref_axis_d,q_ref_axis_c,q_ref_axis_b,qdot_ref_axis_e,qdot_ref_axis_d,qdot_ref_axis_c,qdot_ref_axis_b
0.000000,3.100000,0.700000,0.400000,2.100000,0.000000,0.000000,0.000000,0.000000
0.040000,3.100000,0.700000,0.400000,2.100000,0.000019,0.000008,0.000008,0.000008
0.080000,3.100002,0.700001,0.400001,2.100001,0.000077,0.000033,0.000033,0.000033
0.120000,3.100007,0.700003,0.400003,2.100003,0.000172,0.000074,0.000074,0.000074
0.160000,3.100016,0.700007,0.400007,2.100007,0.000303,0.000130,0.000130,0.000130
0.200000,3.100032,0.700014,0.400014,2.100014,0.000470,0.000201,0.000201,0.000201
0.240000,3.100054,0.700023,0.400023,2.100023,0.000672,0.000288,0.000288,0.000288
0.280000,3.100086,0.700037,0.400037,2.100037,0.000909,0.000390,0.000390,0.000390
0.320000,3.100127,0.700055,0.400055,2.100055,0.001179,0.000505,0.000505,0.000505
0.360000,3.100181,0.700077,0.400077,2.100077,0.001482,0.000635,0.000635,0.000635
0.400000,3.100246,0.700106,0.400106,2.100106,0.001817,0.000779,0.000779,0.000779
0.440000,3.100326,0.700140,0.400140,2.100140,0.002183,0.000936,0.000936,0.000936
0.480000,3.100422,0.700181,0.400181,2.100181,0.002580,0.001106,0.001106,0.001106
0.520000,3.100533,0.700229,0.400229,2.100229,0.003007,0.001289,0.001289,0.001289
0.560000,3.100663,0.700284,0.400284,2.100284,0.003464,0.001484,0.001484,0.001484
0.600000,3.100811,0.700347,0.400347,2.100347,0.003948,0.001692,0.001692,0.001692
0.640000,3.100979,0.700419,0.400419,2.100419,0.004461,0.001912,0.001912,0.001912
0.680000,3.101168,0.700501,0.400501,2.100501,0.005001,0.002143,0.002143,0.002143
0.720000,3.101379,0.700591,0.400591,2.100591,0.005567,0.002386,0.002386,0.002386
0.760000,3.101614,0.700692,0.400692,2.100692,0.006158,0.002639,0.002639,0.002639
