time_sec,q_ref_axis_e,q_ref_axis_d,q_ref_axis_c,q_ref_axis_b,qdot_ref_axis_e,qdot_ref_axis_d,qdot_ref_axis_c,qdot_ref_axis_b
0.000000,3.800000,1.000000,0.700000,2.400000,-0.000000,-0.000000,-0.000000,-0.000000
0.040000,3.799999,1.000000,0.700000,2.400000,-0.000065,-0.000028,-0.000028,-0.000028
0.080000,3.799993,0.999997,0.699997,2.399997,-0.000257,-0.000110,-0.000110,-0.000110
0.120000,3.799977,0.999990,0.699990,2.399990,-0.000573,-0.000246,-0.000246,-0.000246
0.160000,3.799946,0.999977,0.699977,2.399977,-0.001008,-0.000432,-0.000432,-0.000432
0.200000,3.799895,0.999955,0.699955,2.399955,-0.001560,-0.000668,-0.000668,-0.000668
0.240000,3.799819,0.999923,0.699923,2.399923,-0.002223,-0.000953,-0.000953,-0.000953
0.280000,3.799715,0.999878,0.699878,2.399878,-0.002994,-0.001283,-0.001283,-0.001283
0.320000,3.799578,0.999819,0.699819,2.399819,-0.003871,-0.001659,-0.001659,-0.001659
0.360000,3.799404,0.999745,0.699745,2.399745,-0.004848,-0.002078,-0.002078,-0.002078
0.400000,3.799189,0.999653,0.699653,2.399653,-0.005923,-0.002538,-0.002538,-0.002538
0.440000,3.798929,0.999541,0.699541,2.399541,-0.007091,-0.003039,-0.003039,-0.003039
0.480000,3.798621,0.999409,0.699409,2.399409,-0.008350,-0.003579,-0.003579,-0.003579
0.520000,3.798260,0.999254,0.699254,2.399254,-0.009696,-0.004155,-0.004155,-0.004155
0.560000,3.797844,0.999076,0.699076,2.399076,-0.011125,-0.004768,-0.004768,-0.004768
0.600000,3.797369,0.998872,0.698872,2.398872,-0.012634,-0.005415,-0.005415,-0.005415
0.640000,3.796832,0.998642,0.698642,2.398642,-0.014220,-0.006094,-0.006094,-0.006094
0.680000,3.796231,0.998385,0.698385,2.398385,-0.015878,-0.006805,-0.006805,-0.006805
0.720000,3.795561,0.998098,0.698098,2.398098,-0.017607,-0.007546,-0.007546,-0.007546
0.760000,3.794821,0.997780,0.697780,2.397780,-0.019403,-0.008316,-0.008316,-0.008316
0.800000,3.794008,0.997432,0.697432,2.397432,-0.021262,-0.009113,-0.009112,-0.009112
0.840000,3.793119,0.997051,0.697051,2.397051,-0.023182,-0.009935,-0.009935,-0.009935
0.880000,3.792153,0.996637,0.696637,2.396637,-0.025159,-0.010782,-0.010782,-0.010782
0.920000,3.791106,0.996188,0.696188,2.396188,-0.027190,-0.011653,-0.011653,-0.011653
0.960000,3.789977,0.995704,0.695704,2.395704,-0.029272,-0.012545,-0.012545,-0.012545
1.000000,3.788763,0.995184,0.695184,2.395184,-0.031403,-0.013458,-0.013458,-0.013458
1.040000,3.787464,0.994627,0.694627,2.394627,-0.033578,-0.014391,-0.014391,-0.014391
1.080000,3.786077,0.994033,0.694033,2.394033,-0.035796,-0.015341,-0.015341,-0.015341
1.120000,3.784600,0.993400,0.693400,2.393400,-0.038052,-0.016308,-0.016308,-0.016308
1.160000,3.783032,0.992728,0.692728,2.392728,-0.040346,-0.017291,-0.017291,-0.017291
1.200000,3.781372,0.992016,0.692016,2.392016,-0.042673,-0.018288,-0.018288,-0.018288
1.240000,3.779618,0.991265,0.691265,2.391265,-0.045030,-0.019299,-0.019299,-0.019299
1.280000,3.777769,0.990472,0.690472,2.390472,-0.047416,-0.020321,-0.020321,-0.020321
1.320000,3.775824,0.989639,0.689639,2.389639,-0.049828,-0.021355,-0.021355,-0.021355
1.360000,3.773782,0.988764,0.688764,2.388764,-0.052262,-0.022398,-0.022398,-0.022398
1.400000,3.771643,0.987847,0.687847,2.387847,-0.054716,-0.023450,-0.023450,-0.023450
1.440000,3.769405,0.986888,0.686888,2.386888,-0.057188,-0.024509,-0.024509,-0.024509
1.480000,3.767068,0.985886,0.685886,2.385886,-0.059674,-0.025575,-0.025575,-0.025575
1.520000,3.764631,0.984842,0.684842,2.384842,-0.062174,-0.026646,-0.026646,-0.026646
1.560000,3.762094,0.983754,0.683754,2.383754,-0.064683,-0.027721,-0.027721,-0.027721
1.600000,3.759456,0.982624,0.682624,2.382624,-0.067200,-0.028800,-0.028800,-0.028800
1.640000,3.756718,0.981450,0.681450,2.381450,-0.069722,-0.029881,-0.029881,-0.029881
1.680000,3.753878,0.980234,0.680234,2.380234,-0.072247,-0.030963,-0.030963,-0.030963
1.720000,3.750938,0.978973,0.678973,2.378973,-0.074773,-0.032046,-0.032046,-0.032046
1.760000,3.747896,0.977670,0.677670,2.377670,-0.077297,-0.033127,-0.033127,-0.033127
1.800000,3.744754,0.976323,0.676323,2.376323,-0.079817,-0.034207,-0.034207,-0.034207
1.840000,3.741511,0.974933,0.674933,2.374933,-0.082332,-0.035285,-0.035285,-0.035285
1.880000,3.738168,0.973500,0.673500,2.373500,-0.084838,-0.036359,-0.036359,-0.036359
1.920000,3.734724,0.972025,0.672025,2.372025,-0.087333,-0.037428,-0.037428,-0.037428
1.960000,3.731181,0.970506,0.670506,2.370506,-0.089816,-0.038493,-0.038493,-0.038493
2.000000,3.727539,0.968945,0.668945,2.368945,-0.092285,-0.039551,-0.039551,-0.039551
2.040000,3.723799,0.967342,0.667342,2.367342,-0.094738,-0.040602,-0.040602,-0.040602
2.080000,3.719960,0.965697,0.665697,2.365697,-0.097172,-0.041645,-0.041645,-0.041645
2.120000,3.716025,0.964011,0.664011,2.364011,-0.099585,-0.042679,-0.042679,-0.042679
2.160000,3.711994,0.962283,0.662283,2.362283,-0.101977,-0.043704,-0.043704,-0.043704
2.200000,3.707867,0.960515,0.660515,2.360515,-0.104345,-0.044719,-0.044719,-0.044719
2.240000,3.703647,0.958706,0.658706,2.358706,-0.106687,-0.045723,-0.045723,-0.045723
2.280000,3.699333,0.956857,0.656857,2.356857,-0.109001,-0.046715,-0.046715,-0.046715
2.320000,3.694927,0.954969,0.654969,2.354969,-0.111286,-0.047694,-0.047694,-0.047694
2.360000,3.690430,0.953042,0.653042,2.353042,-0.113541,-0.048660,-0.048660,-0.048660
2.400000,3.685844,0.951076,0.651076,2.351076,-0.115762,-0.049613,-0.049612,-0.049612
2.440000,3.681170,0.949073,0.649073,2.349073,-0.117950,-0.050550,-0.050550,-0.050550
2.480000,3.676408,0.947032,0.647032,2.347032,-0.120102,-0.051472,-0.051472,-0.051472
2.520000,3.671562,0.944955,0.644955,2.344955,-0.122217,-0.052379,-0.052379,-0.052379
2.560000,3.666632,0.942842,0.642842,2.342842,-0.124293,-0.053268,-0.053268,-0.053268
2.600000,3.661619,0.940694,0.640694,2.340694,-0.126329,-0.054141,-0.054141,-0.054141
2.640000,3.656526,0.938511,0.638511,2.338511,-0.128324,-0.054996,-0.054996,-0.054996
2.680000,3.651354,0.936294,0.636294,2.336294,-0.130275,-0.055832,-0.055832,-0.055832
2.720000,3.646104,0.934045,0.634045,2.334045,-0.132183,-0.056650,-0.056650,-0.056650
2.760000,3.640780,0.931763,0.631763,2.331763,-0.134045,-0.057448,-0.057448,-0.057448
2.800000,3.635381,0.929449,0.629449,2.329449,-0.135860,-0.058226,-0.058226,-0.058226
