time_sec,tau_axis_e,tau_axis_d,tau_axis_c,tau_axis_b
0.000000,1.483373,0.800391,0.750444,0.200590
0.800000,-0.353971,-0.354394,0.618016,-0.431869
1.600000,0.981444,-0.340866,0.153232,-0.211814
2.400000,1.011766,0.426288,-0.464338,0.207303
3.200000,1.427427,0.506854,0.309286,-0.028601
4.000000,-1.268325,0.937560,0.292928,0.223068
4.800000,-0.547631,0.910597,0.205053,-0.057409
5.600000,1.258666,0.862149,-0.982074,-0.200530
6.400000,0.527609,0.274839,-0.407561,0.168341
7.200000,-0.642525,-0.200023,-0.099692,-0.339175
8.000000,-0.331371,-0.719463,0.463121,-0.477645
8.800000,-0.809341,-0.226417,0.123565,-0.183488
9.600000,-0.999117,-0.369656,-0.283805,0.504926
10.400000,-1.039691,0.222314,0.614287,0.069287
11.200000,1.422275,0.115831,-0.079430,0.466931
12.000000,-0.228312,-0.780504,0.030825,-0.243727
12.800000,-1.310568,-0.039542,0.342785,-0.050750
13.600000,-0.025241,0.675930,-0.480837,-0.303177
14.400000,-0.634970,0.315651,0.114063,0.288187
15.200000,-0.865151,-0.879262,-0.870558,-0.243120
16.000000,-0.877703,-0.830906,-0.512455,-0.504348
16.800000,0.237062,-0.665205,0.348330,0.216733
17.600000,0.272551,0.650392,0.927776,-0.127098
18.400000,1.164194,0.977955,-0.261986,-0.307969
19.200000,-1.170501,-0.176866,0.097514,-0.094839
